1596861,an amazing/delightful work!!,"i am now such a maureen dowd fan! this woman is by far one of the best authors i've ever had the pleasure to read. witty, astute, scathing in her assessment of the current non-elected president...not to mention his (or should i say his daddy's?) cronies, the guys who are really calling the shots in washington, dowd has completely captured the essence of ineptitude displayed daily (hour-by-hour? every other minute?) by the man who would-be-but-isn't-really our president.most interesting, i think, is the fact that her writings began well before the mis-election of 2000...providing the reader with a funny/frightening opportunity for hindsight. gosh, if w's mis-guided supporters had only been paying attention earlier, maybe none of us would be in this ""mess"" right now! sigh...not only am i recommending ""bushworld"" to my friends, i am personally sending copies to anyone and everyone i know...merry (early) christmas! don't forget to vote... : )",5,1
2586463,"Lovely photos, inspirational","I like the photos in this book. It is really lovely to look through and get inspired to make some beaded pieces.  These are not beaded pieces, but the shapes and colors are great.",5,1
83270,enjob so much,"THE GAME - FREE CELL  -Really enjoy the game and so does my husband as he has his own Kindle Fire HD and now, it's not problem for him to stay in the car and me go shopping!!!!!  Yep, that's an answer for my problem!!!",5,1
8432421,"Classic, contemporary romance","What do you call a musician without a girlfriend? A: Homeless. That old joke gets a new twist when the struggling musician is a woman who can't pay the rent and gets tossed into the street by her roommates. Another twist is the novel idea of a handsome young man who has the fortitude and willpower to wait for the wedding night.It doesn't take long for the usual tropes of the romance genre to come into play. Without delivering spoilers, I can only say that the plot has more holes than a golf course, but the narrative is so engaging, most readers won't mind.In spite of my barely willing suspension of disbelief, I kept turning pages (and skimming some too) becauseI actually cared to see how the story played out. And that's a tribute to the author, to be able to tell a predictable story in a way that keeps readers engaged.",4,1
2326474,It Just Works,"Simple things but they work. Think positive thoughts, you'll be creative. Take some down time and your energy factory will be able to handle more output. The positive rituals actually become neuronal connections that soon work automatically for you the same way that the old bad habits used to work against you. Very  similar to a book I read on how to get out of depression called Depression is a Choice. But this is how to be more productive rather than how to get out of depression.",5,1
5677146,Hip hop how it's meant to de done!,"Nas raised the bar so high on Illmatic that he himself couldn't jump over it with his later albums. This captured everything right about hip hop;far from what its detractors said about its glorifying of violence and drugs; the story of a young man and his quest for something better in life than what was handed to him. If you love good music, get this album.",5,1
3333120,Sing you home,Amazing! Another fantastic heart-shredder from Jodi Luckily. Although religious bigotry does not feature on my best seller list I was hooked and could empathise with the characters . Definitely a must read for fans of Jodi.,5,1
6553730,Great Product,This Camera take great picture's and has a good screen I would recommended it to any one.  are simple and easy to use and has a simple display.,5,1
4079961,Beautiful book,"More of a time line with illustrations and brief bits of information than a verbose treatment of history. In fact, many important people (Caesar Augustus, Ronald Reagan, The Medici Family, and more...) are barely mentioned or not mentioned at all, to my disappointment. More is said about Hitler than George Washington.Nice reference nonetheless.",4,1
996333,"Typical Lee child story,","Typical Lee child story, third in the sequence of going back to DC, usual twists and turns. If you enjoyed other reacher books, this will satisfy.",4,1
6448853,Very nice.,"Awesome lens for the price. Build quality is very good and pictures come out great. I have this on a crop sensor body, making it 27-64mm. This is my preferred ""walk around"" lens, especially for street photography.",5,1
2811601,Prayer That Avail Much,Good service.  Great book!  I have one and wanted to give it as a gift to a good friend who has only the 1st volume of the book.  I love having all 3 volumes in one.  This is a very useful book for those who want to pray more specifically for concerns you have.  There is no better way to intercede than to pray scripture!,5,1
2385922,Excellent reference!,"This book really brought World War I to life.  I was surprised at how little I really knew about this war.  This may be billed as a kid's book, but people of all ages will enjoy it.  It's a great source for learning a lot about the war in a short period of time.  The entire Eyewitness series is worth checking out.",5,1
3480736,GOOD READ,At first I thought the story was going to be some young love gone bad type of thing. I was so wrong.  This story is very emotional and heart wrenching at times. I had to keep going to see what happens next. Laney and Adrian are tortured souls and yet they find love. It's a good read!,5,1
